"as_of_date","borrower_contract_reference_number","borrower_country","borrower_country_code","contract_description","contract_signing_date","fiscal_year","major_sector","procurement_category","procurement_method","procurement_type","product_line","project_id","project_name","region","supplier","supplier_contract_amount_usd","supplier_country","supplier_country_code","wb_contract_number"
"2018-04-10T00:00:00.000","WB/LEQEP/C02","Lesotho","LS","Developing and piloting of Progressive Mathematics Initiativ","2017-01-05T00:00:00.000","2017","Education","CONSULTANT SERVICES","Single Source Selection","Education Services","IBRD/IDA","P156001","LS Education Quality for Equality","AFRICA","NJ CENTRE FOR TEACHING AND LEARNING","1532900.00","United States","US","1545487"
"2018-04-10T00:00:00.000","ICB/NRL5","Western Africa","3W","LOT L5Lignes 225 kV de transport d'énergie BOKÉ - SALTHINO -","2017-03-09T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","Request for Bids","Not assigned","IBRD/IDA","P146830","OMVG Interconnection Project","AFRICA","CEGELEC","21427216.14","Morocco","MA","1544642"
"2018-04-10T00:00:00.000","ICB/NRL5","Western Africa","3W","LOT L5Lignes 225 kV de transport d'énergie BOKÉ - SALTHINO -","2017-03-09T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","Request for Bids","Not assigned","IBRD/IDA","P146830","OMVG Interconnection Project","AFRICA","VINCI ENERGIES FRANCE TRANSPORT ET TRANSFORMATION D’ENERGIES","21427216.14","France","FR","1544642"
"2018-04-10T00:00:00.000","ICB/NR L6A","Western Africa","3W","LOT L6a LIGNES 225 kV DE TRANSPORT D'ÉNERGIE TANAFF - SOMA","2017-03-08T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","Request for Bids","Not assigned","IBRD/IDA","P146830","OMVG Interconnection Project","AFRICA","KEC INTERNATIONAL LTD","32327524.46","India","IN","1544643"
"2018-04-10T00:00:00.000","ICB/NRL7","Western Africa","3W","LOT L7LIGNES 225 kV DE TRANSPORT D'ÉNERGIE SOMA - BRIKAMA","2017-03-09T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","Request for Bids","Not assigned","IBRD/IDA","P146830","OMVG Interconnection Project","AFRICA","CEGELEC","11724119.08","Morocco","MA","1544644"
"2018-04-10T00:00:00.000","ICB/NRL7","Western Africa","3W","LOT L7LIGNES 225 kV DE TRANSPORT D'ÉNERGIE SOMA - BRIKAMA","2017-03-09T00:00:00.000","2017","Energy & Extractives","CIVIL WORKS","Request for Bids","Not assigned","IBRD/IDA","P146830","OMVG Interconnection Project","AFRICA","VINCI ENERGIES FRANCE TRANSPORT ET TRANSFORMATION D’ENERGIES","11724119.08","France","FR","1544644"
"2018-04-10T00:00:00.000","CREDIT IDA 5669","Western Africa","3W","Fourniture des kits de kato katz et de filtration urinaire p","2017-03-06T00:00:00.000","2017","Health","GOODS","National Competitive Bidding","Pharmaceuticals, Medical Products","IBRD/IDA","P149526","Sahel Malaria and NTDs Project","AFRICA","FASO INGÉNIERIE ET MAINTENANCE BIOMÉDI","191514.35","Burkina Faso","BF","1545950"
"2018-04-10T00:00:00.000","NOF-16/BCPE-PEJEDEC/2016","Cote d'Ivoire","CI","Acquisition de kits d apprentissage pour les mÃ©tiers : 103","2017-02-22T00:00:00.000","2017","Education","GOODS","National Competitive Bidding","Equipment, Educational","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","ENTREPRISE ZINA","64374.40","Cote d'Ivoire","CI","1546264"
"2018-04-10T00:00:00.000","001/AV/MINMAP/SG/DGMI/DMAI/CE2/B","Cameroon","CM","LA FOURNITURE DES SERVICES DE CONSULTANT DÃÂ¢  UN INGENIEUR","2017-01-10T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P104456","CM-Energy Sector Development SIL (FY08)","AFRICA","STUDI INTERNATIONAL","217249.06","Tunisia","TN","1545069"
"2018-04-10T00:00:00.000","008/AV/MINMAP/DGMI/DMAI/CE2/SAJ/","Cameroon","CM","SERVICES DÃ¢  UN INGENIEUR CONSEIL POUR LA MAITRISE DÃ¢  Ã","2017-01-25T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P104456","CM-Energy Sector Development SIL (FY08)","AFRICA","GROUPEMENT SOFRECO/NETGROUP","180065.78","France","FR","1545071"
"2018-04-10T00:00:00.000","T-10/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Rehabilitation du batiment du pole apprentissabe de AGEFOP C","2017-02-08T00:00:00.000","2017","Education","CIVIL WORKS","Direct Selection","Works, Maintenance and Rehabilitation","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","ENTREPRISE DE CONSTRUCTION SORO","273603.45","Cote d'Ivoire","CI","1549053"
"2018-04-10T00:00:00.000","#","Central African","CF","ACQUISITION ET INSTALLATION DE MOBILIERS DE BUREAU POUR LES","2017-01-26T00:00:00.000","2017","Social Protection","GOODS","Direct Selection","Raw Materials, Chemicals, Commodities","IBRD/IDA","P152512","CF - LONDO ('Stand-Up') Project","AFRICA","STRUCTOR TECHNIQUE","19742.76","Central African","CF","1544994"
"2018-04-10T00:00:00.000","09/UNCP-PARSSA/PM/JNE/092016","Congo, Democrat","ZR","Fourniture des semences de base des variÃ©tÃ©s amÃ©liorÃ©es,","2017-01-13T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Institution building","IBRD/IDA","P092724","DRC Ag Rehab & Recovery SIL (FY10)","AFRICA","INERA","10259.00","Congo, Democrat","ZR","1545324"
"2018-04-10T00:00:00.000","AV NO3-NOCFEF/PDIFM/H926-ZR/2015","Congo, Democrat","ZR","ASSISTANCE TECHNIQUE A LA BCC POUR L ACQUISITION ET LA MISE","2017-02-17T00:00:00.000","2017","Financial Sector","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P145554","DRC:Financial Infrastructure and Markets","AFRICA","ABIB GAYE","187715.00","United States","US","1545775"
"2018-04-10T00:00:00.000","F15/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Fourniture de peintures et accessoires pour les travaux de r","2017-02-24T00:00:00.000","2017","Education","GOODS","Direct Selection","Equipment, Construction","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","PPG COTE D'IVOIRE","284766.19","Cote d'Ivoire","CI","1547923"
"2018-04-10T00:00:00.000","091/IDA/PGAPF/UC-PIF/MECN-DD/EPM","Congo, Democrat","ZR","SERVICE DÃ¢  ASSISTANT TECHNIQUE INTERNATIONAL DU PROGRAMME","2017-01-26T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Consultant Qualification  Selection","Project Management","Recipient Executed A","P128887","DRC FIP Improved Forested Landscape Mgmt","AFRICA","VINCENT CAPDEJELLE","150000.00","Congo, Democrat","ZR","1545981"
"2018-04-10T00:00:00.000","T-12/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Travaux de ravalement des facades de batiments prives dans l","2017-04-25T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Construction Supervision","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","TOLE IVOIRE SA","491416.03","Cote d'Ivoire","CI","1547930"
"2018-04-10T00:00:00.000","IDA 4893-NE - IDA 58810-NE - IDA","Niger","NE","Etudes detaillees d'execution, l'elaboration des dossiers d'","2017-05-19T00:00:00.000","2017","Water/Sanit/Waste","CONSULTANT SERVICES","Quality And Cost-Based Selection","Feasibility Studies","IBRD/IDA","P117365","NE-Urban Water and Sanitation Project","AFRICA","RESEAU SAHELIEN  D'INGENIEURIE (RESI","227060.30","Niger","NE","1547430"
"2018-04-10T00:00:00.000","MOE/ESURP/PBCUOM/CQS/N-YEBOAH/01","Sierra Leone","SL","To support the Board of EDSA in the monitoring performance o","2017-01-11T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Consultant Qualification  Selection","Management /Technical Advice","IBRD/IDA","P120304","SL-Energy Sector Utility Reform","AFRICA","DR. NICHOLAS K. SMART-YEBOAH","393200.00","Ghana","GH","1545342"
"2018-04-10T00:00:00.000","#","Cabo Verde","CV","Economic analysis ex-ante of the 3 proposed roads for the ad","2017-01-11T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Feasibility Studies","IBRD/IDA","P126516","Cabo Verde - Transport Sector Reform","AFRICA","CARLOS HENRIQUE CORREIA DA FONSECA","28925.88","Portugal","PT","1545771"
"2018-04-10T00:00:00.000","00217 DGMP/DSP 2017","Mali","ML","Travaux d elimination des stocks de pesticides obsoletes et","2017-06-29T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Single Source Selection","Environmental Studies","GEF","P146247","Mali Obsolete Pesticides Project","AFRICA","VEOLIA ES FIELD SERVICES LTD","2805179.28","United Kingdom","GB","1549643"
"2018-04-10T00:00:00.000","2017/076/1/2/1/2/2/011","Guinea","GN","Travaux de Construction de dix (10) Ponts metalliques prefab","2017-03-24T00:00:00.000","2017","Transportation","CIVIL WORKS","International Competitive Bidding","Works, Building","Recipient Executed A","P156557","GN-Rural Roads Emergency Improvement","AFRICA","SOCIETE DERNBACH & PARTNERS SARL","1807765.30","Guinea","GN","1548186"
"2018-04-10T00:00:00.000","AO-MOSAP-2951-CS-CDS","Angola","AO","Project Coordinator","2016-11-25T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Direct Selection","Not assigned","IBRD/IDA","P154447","AO -Smallholder Agr. Dev.","AFRICA","MARIA JULIA VAZ GRAVE","380418.25","Angola","AO","1544807"
"2018-04-10T00:00:00.000","195/PDSS/2016","Congo, Democrat","ZR","Protocole d' accord de partenariat entre le PDSS et  l EUP F","2017-01-25T00:00:00.000","2017","Health","CONSULTANT SERVICES","Single Source Selection","Management /Technical Advice","IBRD/IDA","P147555","DRC -Health System Strengthening Project","AFRICA","EUP EQUATEUR","3428598.00","Congo, Democrat","ZR","1545235"
"2018-04-10T00:00:00.000","CONV NO07/BCPE-PEJEDEC FA/2017","Cote d'Ivoire","CI","Convention de maitrise d'ouvrage delegue pour la mise en act","2017-03-13T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Training Services","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","LE CONSEIL MUNICIPAL DE TENGRELA","319406.54","Cote d'Ivoire","CI","1546239"
"2018-04-10T00:00:00.000","ETP/C3/4/2","Ghana","GH","A Court/Case, administrative and financial management system","2017-05-11T00:00:00.000","2017","Public Admin","CONSULTANT SERVICES","Quality And Cost-Based Selection","Administrative Services","IBRD/IDA","P144140","GH eTransform Ghana","AFRICA","EOH","2834946.54","South Africa","ZA","1548206"
"2018-04-10T00:00:00.000","N.C0550 - COMMANDE N.96424","Madagascar","MG","FOURNITURE, INSTALLATION ET MISE EN EXPLOITATION DES EQUIPEM","2017-02-27T00:00:00.000","2017","Energy & Extractives","GOODS","National Competitive Bidding","Equipment Information Technology","IBRD/IDA","P151785","MG-ESOGIP","AFRICA","SOCIÉTÉ WIDE","216910.57","Madagascar","MG","1545708"
"2018-04-10T00:00:00.000","IDA 55690 NE DU 23 MARS 2015","Western Africa","3W","Acquisition de materiel roulant comme suit : lot1 un (1) veh","2017-03-06T00:00:00.000","2017","Health","GOODS","International Competitive Bidding","Equipment, Transportation","IBRD/IDA","P150080","Sahel Women's Emp. & Demographics Proj","AFRICA","CFAO -MOTORS","100056.96","Niger","NE","1545765"
"2018-04-10T00:00:00.000","IDA 55690 NE DU 23 MARS 2015","Western Africa","3W","Acquisition de materiels roulants:
-lot2 : 2 vehicules stat","2017-03-06T00:00:00.000","2017","Health","GOODS","International Competitive Bidding","Equipment, Transportation","IBRD/IDA","P150080","Sahel Women's Emp. & Demographics Proj","AFRICA","LA NIGERIENNE DE L AUTOMOBILE -NIA-","571264.24","Niger","NE","1545784"
"2018-04-10T00:00:00.000","FOURNITURE ET POSE DES CONDUITES","Guinea-Bissau","GW","Fourniture et pose des conduites pour les rÃ©seaux de distri","2017-02-10T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","International Competitive Bidding","Works, Infrastructure","IBRD/IDA","P148797","FY14-GB Emergency Wat & Elec Serv","AFRICA","SVTP/GC","5368577.18","Senegal","SN","1546201"
"2018-04-10T00:00:00.000","AOI NO : 001/T/ UI-PUASEE/2016","Guinea-Bissau","GW","lot 2 : Renforcement et extension du rÃ©seau Ã©lectrique de","2017-02-10T00:00:00.000","2017","Water/Sanit/Waste","CIVIL WORKS","International Competitive Bidding","Works, Infrastructure","IBRD/IDA","P148797","FY14-GB Emergency Wat & Elec Serv","AFRICA","RMT INDUSTRIE – UND ELECTROTECHNIK GMB","4698109.29","Germany","DE","1546212"
"2018-04-10T00:00:00.000","000212 /C/PR/MINMAP/DGMAS/DMSPI/","Cameroon","CM","APPUI TECHNIQUE A LA REORGANISATION DU SECTEUR DE L'ELECTRIC","2016-07-15T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Not assigned","IBRD/IDA","P152755","CM-Electricity Transmission and Reform P","AFRICA","CPCS TRANSCOM INTERNATIONL LIMITED","429850.00","Barbados","BB","1544862"
"2018-04-10T00:00:00.000","000252/C/PR/MINMAP/DGMAS/DSMPI/C","Cameroon","CM","Appui technique à l'opérationnalisation du Gestionnaire de R","2016-08-05T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Not assigned","IBRD/IDA","P152755","CM-Electricity Transmission and Reform P","AFRICA","PRICEWATERHOUSECOOPERS","3748752.83","France","FR","1544864"
"2018-04-10T00:00:00.000","F-07/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Fourniture d'equipement de protection Individuel (EPI) et de","2017-02-09T00:00:00.000","2017","Education","GOODS","Direct Selection","Equipment, Construction","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","LA SOCIETE BERNABE","271071.09","Cote d'Ivoire","CI","1549792"
"2018-04-10T00:00:00.000","F-15/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Founiture de peinture et accessoires pour les travaux de rav","2017-02-24T00:00:00.000","2017","Education","GOODS","Direct Selection","Materials, Construction","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","LA SOCIETE PPG COTE D'IVOIRE","432566.12","Cote d'Ivoire","CI","1547042"
"2018-04-10T00:00:00.000","2017/030/1/3/3/2/GG","Guinea","GN","Fourniture et livraison aux DPE et DCE de 597 106 manuels et","2017-02-16T00:00:00.000","2017","Education","GOODS","Direct Selection","Equipment, Educational","Recipient Executed A","P148127","GPE Guinea","AFRICA","HACHETTE LIVRE INTERNATIONAL","2609986.30","France","FR","1545751"
"2018-04-10T00:00:00.000","2017/056/1/3/1/2/1/020","Guinea","GN","Fourniture et livraison aux DPE/DCE de 129 771 manuels d ang","2017-02-16T00:00:00.000","2017","Education","GOODS","Direct Selection","Equipment, Educational","Recipient Executed A","P148127","GPE Guinea","AFRICA","PAARLMEDIA","354594.24","South Africa","ZA","1545762"
"2018-04-10T00:00:00.000","194/PDSS/2017","Congo, Democrat","ZR","Contrat de Consultant chargÃ© de la mise e Åuvre de la phas","2017-01-25T00:00:00.000","2017","Health","GOODS","International Competitive Bidding","Equipment, Agricultural","IBRD/IDA","P147555","DRC -Health System Strengthening Project","AFRICA","VILLAGEREACH","705752.00","United States","US","1545236"
"2018-04-10T00:00:00.000","STE PROJECT-PHASE I:VILANCULOS-M","Southern Africa","3S","Consultant Services for updating the existing(ESIA), (RPF)an","2017-03-08T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Environmental Studies","IBRD/IDA","P108934","MZ Regional Transmission Devt APL (RI)","AFRICA","JOINT VENTURE CONSULTEC,LDA/WSP,PTY","461210.35","Mozambique","MZ","1546277"
"2018-04-10T00:00:00.000","PIU/EERP: 06/2017","Western Africa","3W","Construction of 5 duplex housing units in Sinoe County (Lot","2017-01-25T00:00:00.000","2017","Health","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","WEST CONSTRUCTION LIBERIA, INC.","267063.52","Liberia","LR","1548794"
"2018-04-10T00:00:00.000","2017/038/1/6/2/2/CR","Guinea","GN","Actualisation du Schema Directeur d'amÃ©nagement des Pistes","2017-02-28T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Quality And Cost-Based Selection","Management /Technical Advice","IBRD/IDA","P148114","Guinea National Agricultural","AFRICA","ALPHA CONSULT/2M CONSULT/ACE","1895973.04","Mauritania","MR","1547974"
"2018-04-10T00:00:00.000","CONTRAT NO.001/2017/MEE-PASE","Mali","ML","CONTRAT D'AUDIT FINANCIER ET COMPTABLE POUR LES EXERCICES 20","2017-01-27T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Audit Services","IBRD/IDA","P108440","Mali Energy Support Project SIL (FY09)","AFRICA","SOCIÉTÉ D'EXPERTISE COMPTABLE DARRA","18642.94","Mali","ML","1546814"
"2018-04-10T00:00:00.000","139/MITPR/CI/PRO-ROUTES/2016","Congo, Democrat","ZR","Contrat service de Consultant chargÃ© de la realization des","2017-02-07T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Training Services","IBRD/IDA","P101745","High Priority Reopening & Maintenance","AFRICA","PIERRE AUTARD","112686.69","France","FR","1545536"
"2018-04-10T00:00:00.000","CONV-02/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Convention de partenariat pour la mise en oeuvre de l appren","2017-02-03T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Training Services","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","ONG SOLEIL LEVANT","117326.03","Cote d'Ivoire","CI","1545856"
"2018-04-10T00:00:00.000","CONV-04/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Convention de partenariat pour la mise en aouvre de l appren","2017-02-02T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Training Services","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","ONG ACTION ENTREPRISES","175556.78","Cote d'Ivoire","CI","1545862"
"2018-04-10T00:00:00.000","CONV-03/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Convention de partenariat pour la mise en oeuvre de chantier","2017-02-02T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Training Services","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","ONG ACTION ENTREPRISES","127107.73","Cote d'Ivoire","CI","1545863"
"2018-04-10T00:00:00.000","CONV-05/BCPE-PEJEDEC FI/2017","Cote d'Ivoire","CI","Convention de partenariat pour la mise en oeuvre de l appren","2017-02-07T00:00:00.000","2017","Education","CONSULTANT SERVICES","Consultant Qualification  Selection","Training Services","IBRD/IDA","P122546","CI - Emerg. Youth Empl & Skills Dev. Pro","AFRICA","ONG ECOLE POUR TOUS","189990.41","Cote d'Ivoire","CI","1545867"
"2018-04-10T00:00:00.000","LEC/LACEEP/CSM/2016","Liberia","LR","Supply, Installation & Training of an Integrated Management","2017-06-03T00:00:00.000","2017","Energy & Extractives","GOODS","International Competitive Bidding","Equipment Information Technology","IBRD/IDA","P133445","LR-Accelerated Electricity Exp. (FY13)","AFRICA","INDRA SISTEMAS S.A","5633187.53","Spain","ES","1547414"
"2018-04-10T00:00:00.000","IDA 5132 - NE","Niger","NE","Travaux de construction des infrastructures de marche dans l","2017-01-24T00:00:00.000","2017","Industry & Trade/Ser","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P127204","Competitiveness & Growth Support","AFRICA","ENTREPRISE SNLM/TP","402760.57","Niger","NE","1545206"
"2018-04-10T00:00:00.000","IDA 5132 - NE","Niger","NE","Travaux de construction des infrastructures de marche dans l","2017-01-24T00:00:00.000","2017","Industry & Trade/Ser","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P127204","Competitiveness & Growth Support","AFRICA","ENTREPRIE KABIROU MAHAMADOU","402119.58","Niger","NE","1545213"
"2018-04-10T00:00:00.000","IDA 5132 - NE","Niger","NE","Travaux de construction des infrastructure de marche dans la","2017-01-24T00:00:00.000","2017","Industry & Trade/Ser","CIVIL WORKS","National Competitive Bidding","Works, Infrastructure","IBRD/IDA","P127204","Competitiveness & Growth Support","AFRICA","ENTREPRISE SNLM/TP","409871.73","Niger","NE","1545215"
"2018-04-10T00:00:00.000","PIU/EERP: 01/2017","Western Africa","3W","Construction of 5 Duplex Housing Units in Grand Gedeh County","2017-01-25T00:00:00.000","2017","Health","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","WEST CONSTRUCTION LIBERIA, INC.","267063.52","Liberia","LR","1548828"
"2018-04-10T00:00:00.000","PIU/EERP: 04/2017","Western Africa","3W","Construction of 5 Duplex Housing Units in River Gee County (","2017-01-25T00:00:00.000","2017","Social Protection","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","SLD & ASSCIATES ARCHITECT&CONSTRUCTION","230408.25","Liberia","LR","1548829"
"2018-04-10T00:00:00.000","PIU/EERP: 05/2017","Western Africa","3W","Construction of 5 Duplex Housing Units in Gbarpolu County (L","2017-01-25T00:00:00.000","2017","Health","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","ASSOCIATED BUILDERS & CONTRACTORS","281389.57","Liberia","LR","1548838"
"2018-04-10T00:00:00.000","PIU/EERP: 02/2017","Western Africa","3W","Construction of 5 Duplex Housing Units in Grand Kru County (","2017-01-25T00:00:00.000","2017","Health","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","WEST CONSTRUCTION LIBERIA, INC.","266433.78","Liberia","LR","1548839"
"2018-04-10T00:00:00.000","PIU/EERP: 08/2017","Western Africa","3W","Construction of 5 Duplex Housing Units in River Cess County","2017-01-25T00:00:00.000","2017","Health","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","MORDERNCONSTRUCTION&CONTRACTORSERVICES","222577.78","Liberia","LR","1548847"
"2018-04-10T00:00:00.000","PIU/EERP/03/2017","Western Africa","3W","Construction of 5 duplex housing in Maryland (Lot3)","2017-01-25T00:00:00.000","2017","Social Protection","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","SLD & ASSCIATES ARCHITECT&CONSTRUCTION","230136.02","Liberia","LR","1550209"
"2018-04-10T00:00:00.000","MA/D003/2017/5357-CG","Congo, Republic","CG","FOURNITURES DE CERTAINS PRODUITS ET SERVICES CONNEXES - PROD","2017-02-27T00:00:00.000","2017","Health","GOODS","Direct Selection","Pharmaceuticals, Medical Products","IBRD/IDA","P143849","CG Health Sector Project","AFRICA","IMRES HOLLANDAISE 8200","15772.56","Netherlands","NL","1547837"
"2018-04-10T00:00:00.000","MA/F001/2017/5357-CG","Congo, Republic","CG","CONTRAT RELATIF A L'ACQUISITION DE PRODUITS PHARMACEUTIQUES","2017-02-20T00:00:00.000","2017","Health","GOODS","Limited International Bidding","Pharmaceuticals, Medical Products","IBRD/IDA","P143849","CG Health Sector Project","AFRICA","IMRES HOLLANDAISE 8200","390425.26","Netherlands","NL","1546474"
"2018-04-10T00:00:00.000","S160617/17","Senegal","SN","Mise a niveau de deux Datacenters, fourniture et installatio","2017-01-28T00:00:00.000","2017","Public Admin","CIVIL WORKS","International Competitive Bidding","Works, Installation","IBRD/IDA","P122476","SN:Public Res.Management StrengtheningTA","AFRICA","CFAO TECHNOLOGIES","1764536.58","Senegal","SN","1548657"
"2018-04-10T00:00:00.000","PIU/EERP:07/2017","Western Africa","3W","Construction of 6 duplex housing units in Montserrado County","2017-01-25T00:00:00.000","2017","Health","CIVIL WORKS","National Competitive Bidding","Works, Building","IBRD/IDA","P152359","Ebola Emergency Response Project","AFRICA","WEST CONSTRUCTION LIBERIA, INC.","310883.29","Liberia","LR","1548551"
"2018-04-10T00:00:00.000","IDA 5669 - NE","Western Africa","3W","Fourniture du materiel pour la capture des simulies pour le","2017-03-06T00:00:00.000","2017","Health","GOODS","National Competitive Bidding","Equipment, Medical","IBRD/IDA","P149526","Sahel Malaria and NTDs Project","AFRICA","M-MIM","56545.79","Niger","NE","1545960"
"2018-04-10T00:00:00.000","PROMINES NO. 04-063 / 2016","Congo, Democrat","ZR","REALISATION DES ETUDES REGIONALES SUR 3 ZONES-CIBLES (ZONES","2017-02-10T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Sector Studies","IBRD/IDA","P106982","DRC-Growth w/ Gov in Mineral Sector","AFRICA","BRGM","7684827.15","France","FR","1546207"
"2018-04-10T00:00:00.000","PROMINES NO.04 Ã¢Â¬Â 055 / 20","Congo, Democrat","ZR","REALISATION DÃ¢  UNE CAMPAGNE GEOPHYSIQUE AEROPORTEE SUR 6 S","2017-02-10T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Sector Studies","IBRD/IDA","P106982","DRC-Growth w/ Gov in Mineral Sector","AFRICA","GROUPEMENT IGS / PGW / NRG","3539314.00","United Kingdom","GB","1546208"
"2018-04-10T00:00:00.000","NO. 159/MITP/CI/PRO-ROUTES/2016","Congo, Democrat","ZR","CONTRAT DE SERVICE DE CONSULTANT CHARGE D'AUDIT TECHNIQUE ET","2017-02-04T00:00:00.000","2017","Transportation","CONSULTANT SERVICES","Single Source Selection","Audit Services","IBRD/IDA","P101745","High Priority Reopening & Maintenance","AFRICA","BERNARD PECCOUD","218863.58","France","FR","1546188"
"2018-04-10T00:00:00.000","LEC/LACCEP/RAP/04/15","Liberia","LR","PREPARATION OF THE RESETTLEMENT ACTION PLAN  (RAP) FOR THE L","2017-01-27T00:00:00.000","2017","Energy & Extractives","CONSULTANT SERVICES","Quality And Cost-Based Selection","Social Studies","IBRD/IDA","P133445","LR-Accelerated Electricity Exp. (FY13)","AFRICA","MULTICONSULT ASA","123013.00","Liberia","LR","1548647"
"2018-04-10T00:00:00.000","NO. 192/PTM/CEPTM-UPK/C/LDWM/PM/","Congo, Democrat","ZR","ACQUISITION DES PIECES DE RECHANGE EN VUE DE LA REPARATION D","2015-02-20T00:00:00.000","2017","Transportation","GOODS","Direct Selection","Equipment, Mechanical","IBRD/IDA","P092537","DRC-Multi-Modal Transp","AFRICA","ABC SODIMEL","236343.98","Congo, Democrat","ZR","1546857"
"2018-04-10T00:00:00.000","NO. 001-SC/UEPN-DDR/PRR/PM/2017","Congo, Democrat","ZR","Services d un Consultant (Firme) en charge de  l audit Finan","2017-02-20T00:00:00.000","2017","Social Protection","CONSULTANT SERVICES","Quality And Cost-Based Selection","Audit Services","IBRD/IDA","P152903","Reinsertion and Reintegration Project","AFRICA","PRICEWATEROUSECOOPERS","32100.00","Congo, Democrat","ZR","1547224"
"2018-04-10T00:00:00.000","FBCU/C/QCBS-4/15","Ethiopia","ET","Consultancy service for baseline survey for PCDP III","2017-02-27T00:00:00.000","2017","Agriculture","CONSULTANT SERVICES","Quality Based Selection","Research/Development Services","IBRD/IDA","P130276","Pastoral Community Development III","AFRICA","INTERNATIONAL LIVESTOCK RESEARCH INSTI","386163.00","Ethiopia","ET","1545752"
